word,count
vaccine,2534
moderna,2180
covid19,1321
covaxin,1262
sputnikv,988
pfizerbiontech,683
pfizer,656
dose,585
vaccines,580
&amp;,558
covidvaccine,543
covid,487
vaccination,436
coronavirus,406
vaccinated,390
covid-19,386
doses,384
shot,366
astrazeneca,363
sinopharm,340
oxfordastrazeneca,332
sinovac,327
??,323
russia,310
against,287
india,287
covishield,276
2nd,269
covid19vaccine,267
cases,262
vaccine.,249
canada,238
health,227
effective,217
today,210
lockdown,206
received,206
side,202
use,202
sputnik,200
getting,200
million,195
1st,194
ontario,169
eu,165
jab,156
china,151
approved,145
thank,144
"vaccine,",142
